title,name,star,date,comment
効果は分からん,Maverick,4.0,2022年12月20日,続けて飲んでいます今までスーパーで月一くらいで特売をやっていたのですが（12本で税込み680円）ここ最近物価が上がったからか全くやらなくなり仕方なく少しお高いですがここで購入しました健康診断というものを全く受けないので効果のほどは未知数ですが飲まないよりマシかなといった感じです賞味期限は来年の7月までという十分なもので安心しました
野菜不足の時の為に購入,塩満　勝,4.0,2022年12月13日,野菜不足の日の為に購入しました。簡単に一日分の野菜が取れるので非常に重宝しています。
味も量もちょうどいい,ひだまり,5.0,2022年12月16日,昼食で飲んでいますが、多過ぎず飲み切れる量がいいです。味はフルーツのような甘さが無く、食事とも合っていて毎日続けて飲めています。
安心感,り,5.0,2022年12月18日,主人が毎朝飲みます。私もたまに飲みますが、中学生の子どもは味に馴染めない様子。親は美味しくいただいています。青臭さはなく、トマトジュースに近いと思います。コンビニで鉄分プラスのものも買って時々飲みますが、体にいいことをしている感があり満足しています。
自分の事を考えて,吉田昭尚,5.0,2022年12月16日,僕は障害者です。1年の内､外出するのは2ヵ月程です。一人で生活しています。外出する事が出来ないのでネットで、この野菜ジュースを見つけて購入しました。意外にも飲みやすかったので､それからは1ヵ月に1回はAmazonさんで購入しています。僕は健常者の方達と違って障害が､有るために旅行・外食・買い物・娯楽施設などの普通に皆さんが､している事が出来ないので1年の内の10ヵ月は家の中にいます。僕は62歳に､なります。僕が子供の頃はネットが無く買い物はほとんど母親が､してくれて､いました。だけど今はネットと言う便利な物が出来て大変､助かっています。だから僕はほとんどの買い物はネットで買い物を､しています。Amazonさん､いつも沢山の商品を揃えて､くれて有り難う御座います。本当に助かっています。何か自分の事ばっかり書いてしまって申し訳有りません｡これからもAmazonさんで買い物していきますのでAmazonさん宜しく御願い致します。余り評価､出来てなくて申し訳有りません｡以上に､なります。どうも､有り難う御座いました。では、失礼致します。
安くて美味しい,ABE たろ～,5.0,2022年12月15日,カゴ〇の商品を買ってましたが、安いので変更、味も飲みやすさも変わらない。お得です
安い！美味しい！,霊幻 新隆,5.0,2022年12月11日,"いつもコンビニでこに野菜ジュースを買っていたのですが、まとめて欲しいなと思い買わせていただきました。コンビニと比べるとかなり安いです！味も美味しいですし、野菜が嫌いな人でも飲みやすく毎日飲めちゃいます！これからも毎日お世話になります(*' ')*, ,)ﾍﾟｺﾘ"
酸味が少なめで飲みやすい印象です,にゅーるらら,5.0,2022年12月13日,野菜が少なかったなぁ、という感じがした日に飲んでいます。味はトロッとしたタイプですが、比較的に酸味が少なめで飲みやすい方かなと思います。苦味や青臭さは全くありません。効果は…お通じがよくなったような…？まあ、お守りに近いかも。
美味しい,そら,4.0,2022年12月4日,トマトジュースが苦手な私でも美味しく飲めます
定期おトク便の価格について,杉山拓三,4.0,2022年11月29日,重量のあるものを定期的に購入できて助かっています。今回価格が上がっていたのですが，購入後まで気が付きませんでした。見落としていたのかもしれませんが，定期おトク便の価格が上がる場合には事前に分かりやすく連絡いただけると助かります。よろしくお願いいたします。
飲みやすい,サッカーボーイ,5.0,2022年12月9日,野菜ジュースでは一番飲みやすいです。
good,sam,5.0,2022年12月9日,美味しい
常備してます,Amazon カスタマー,5.0,2022年12月7日,果物が入っていない野菜のみのジュースの中では、私の好みに一番合う製品です。まとめ買いだとお得だし、昼食用に常備してます！
一日一本,ogisan,5.0,2022年12月6日,濃い系の野菜ジュースですが、飲んだら「美味しい!」という感じです。人参ベースなので、トマトベースのものと比べて少し甘くあっさり目です。野菜ジュース苦手な方も飲みやすいかも知れません。
野菜を摂らない方に,太郎,4.0,2022年11月22日,飲みやすいし栄養が採れるから便利
野菜嫌いにお助けジュース,関口 静子,5.0,2022年12月5日,値上がりした事
手軽さを取るか値段を取るか,スプラおじさんまさやん,4.0,2022年11月17日,日々の野菜不足が気になり定期便で購入しています。味は野菜ジュース特有の臭みなどなく飲みやすいと思います。子供が飲んでも美味しくないと思いますが大人なら美味しいと思えるものです。1リットルのパックの野菜ジュースを買った方が一杯あたりの値段は安いのですが、手軽に飲めて洗い物をしなくて良いことからこちらの商品を愛用するようになりました。定期便だと買い忘れることもなく便利ですね。飲んでる効果というのは正直あまり実感できないですが、少しでも栄養が取れれば良いかなと思って買っています。
美味しいですよ。,アネモネ,5.0,2022年12月4日,歯科医に、栄養不足を指摘され飲んでました。いまはやめてます。また、飲むと思います。ただ、大きな紙パックの方が安いので、これは頼まないかな。
美味しい,長谷川郁子,5.0,2022年12月6日,野菜不足を補うのに飲み始めました。手軽で美味しいです。
配達について,Amazon カスタマー,4.0,2022年11月19日,商品はとても飲みやすいですので定期便で注文したが、配達について在宅にいるのてなぜ１階のBoxに入れてままのが理解できない。自力で持って帰られたら近くのスーパーに買いますよ。
濃いです,ともや,4.0,2022年11月10日,トマトの味が濃いですね野菜取らなきゃってことで買ってますが　おいしいかというと・・・トマトジュース苦手なひとや野菜嫌いな子供さんはだめかもしれないですねただ野菜の味が濃い分　栄養とれてる感はすごいです
美味しいので続けられます,Amazon カスタマー,5.0,2022年11月28日,1日一本、習慣付けてます。夕飯の後に飲みますが次の日は必ず快便です。腸にも良いのだということを実感してます。市販の野菜ジュースは野菜の味が強く飲みにくかったり、果物がたくさん入っていて糖質が気になったりしてなかなか合うものがなかったのですが、これが一番美味しくて飲みやすい、続けやすいです。
おいしい,こう,4.0,2022年11月6日,いつもの味でおいしい
一日分の野菜が手軽に摂取出来ること！,コイズミ,4.0,2022年11月9日,一日一本摂取を心掛けている
長年お世話になっています。,サイトウ,5.0,2022年11月27日,これのおかげか、同僚と比較してシミが少ない感じです。仕事で苦労していても、体調だけでなく顔の色艶も良くなっている気がします。
纏め買いの人には、ストローは邪魔。,石塚英夫,5.0,2022年11月24日,纏め買いしている人は家で呑んで呑んでいるだろうから、コップ開けて呑むか？折り込みを切り明けて直に呑むかして入ると思う。ストローは邪魔。
プライムデー！,sakuraco,4.0,2022年11月6日,1日の献立で、野菜不足を感じた時に、市販の野菜ジュースを飲んでいます。プライムデーで、お安く買えたので、よかったです！
トマト未はあり,くうちゃん,5.0,2022年11月24日,セールでお安く買えました。トマト好きなひとはいいと思います。
毎日健康に野菜が取れ食事に気をつけなくて良い,サッチン,4.0,2022年11月2日,腸内環境がベストで本当に気持ちの良い生活が送れる
家族毎日のんでます。,やまびこさん,5.0,2022年11月20日,毎日のんでます。
飲みやすい,Kero,5.0,2022年11月18日,野菜の臭みも少なく、飲みやすいです。お高いものはそれなりに美味しいでしょうが、この価格帯では一番飲みやすいと思います。
濃いです。,翠川範男,4.0,2022年11月1日,濃いので、健康によさそうです。味も美味しいです。野菜の好き嫌いのある人に適しています。
良いものです,koukishin,5.0,2022年11月19日,一日野菜接種には良いものです
味よく飲みやすい。,千葉恵子,5.0,2022年11月17日,微妙に酸味の多く感じる時と甘みを強く感じる時が、あります。
野菜ジュースで一番好きな味です,Amazonカスタマー,5.0,2022年11月15日,日頃から野菜不足に悩んでいたのですが、いろいろと試した中でこちらが一番美味しく飲めました。30本入りは専用段ボールで来るのでストックしやすく、おまけに安く買えるので大満足です。
お手軽,あやぱん,4.0,2022年10月22日,手軽に1日分の野菜が採れて飲みやすくて良いです。
何度も購入していて商品はオススメですが梱包に配慮がなくひどいです。,abc,4.0,2022年10月26日,定期便で1箱(30個)と別製品(プロテイン)を1つ注文したところ、かなりオーバーサイズの段ボールに入って届きました。紙が雑に投げ込まれており数えたところ20枚くらいありましたが、紙の入れ方や枚数の問題ではなく、段ボールが大きすぎて意味をなしていませんでした。環境に配慮されていませんし、処分も面倒なので、意味のない梱包をするくらいなら製品の箱に伝票を貼って送ってくれれば良いです。製品自体は何度も注文しているもので美味しくて飲みやすいのですごくオススメです。
味が美味しい,楓丸,4.0,2022年10月21日,値段が手頃で美味しく飲める
美味しくてのみやすい,竹渕 晶代,5.0,2022年11月3日,
飲みやすい,Amazon カスタマー,4.0,2022年10月17日,子どもでも飲める。
味が良い,つめ,5.0,2022年11月2日,一月分ぴったりの数が良い。カラの処理がしやすい。
子ども達用,壁床天井,4.0,2022年10月15日,ヤクルト400W飲んでいるのに便秘気味の子ども達に。小5娘はジュース代わりに。高1息子はお弁当に入れて。飲ませていますが、便秘が解消されたかは聞いていません。文句言わずに飲んでいるので、まぁいいか。
飲みやすさ,アベンジャーズ,5.0,2022年10月31日,とても飲みやすく毎日飲んでいますこれ一本で１日に摂取したい野菜がとれるなんて素晴らしい
全然苦ではない。,Maru,4.0,2022年10月14日,1食分ではなく1日分の野菜が摂取できる野菜ジュースは美味しくない傾向が高いが、人参ベースなので仄かに甘みもあり飲みやすい。
飲みやすい,沼田敏子,4.0,2022年10月10日,野菜不足の時に飲んでます
美味しい,松村　理,5.0,2022年10月27日,美味しい
ありがたい,水城,5.0,2022年10月28日,最安値を逃してしまいましたが、それでも１本75円で購入出来たのは非常にありがたいです。普段野菜をあまり取らないので、１日分の野菜をこの量で簡単に摂取出来て助かります。酸味が苦手な自分には凄く飲みやすいとは言えませんが、健康の為にも毎日飲みたいと思います。定期的に格安で販売していただけると嬉しいです。
外食が多い人にお薦めです,猫の好奇心,5.0,2022年10月25日,一日の野菜目標摂取量350gをぎゅっと濃縮して仕上げた野菜100％飲料で、飲みやすい量と味ですから、一人暮らしや外食が多い人には是非お薦めしたい商品です、外食で十分に緑黄色野菜を食べられなかった時に1日分の野菜を飲んでいます。10本以上の購入は重いので、自宅まで配達してくれて助かりました。
健康のため,バキ,5.0,2022年10月22日,日々の健康のために、野菜ジュースは賛否あるかと思いますが、飲まないよりは飲んで野菜を摂った方が良いだろうと考えて日課にしています。まとめ買いがお得で、飲み忘れも防げるので良いです。
美味しいです,あんころもち,5.0,2022年10月19日,野菜不足解消のために箱買いをすることにしました。スーパーでちまちま買うよりお得で楽ちんです。
飲みやすい,Amazon カスタマー,5.0,2022年10月18日,カゴメさんの野菜ジュースよりややサラッとして飲みやすいと感じました｡トマトの味が苦手な方はこちらの方がいいかもしれません。
凄く飲みやすい！,Amazon愛好家MM,5.0,2022年10月17日,定期購入しています価格も単品購入より少し安価ですし、毎月の配送日が決められます。定期解約も簡単です伊藤園の1日分の野菜は他社の野菜ジュースよりまろやかです！とても飲みやすいと思います。
安い,飯島菜那,5.0,2022年10月16日,安く買えた。おいしくはないけど健康のために買ってます。これ飲むとニキビができにくくなった気がする。
朝の目覚まし,レモン水,4.0,2022年9月27日,野菜が嫌いなので代わりに毎朝飲んでいます。はじめ飲んだ時はおいしくなかったですが健康のために飲んでいたら割と飲めるようになりましたニンジンの味が強く結構ドロッとしています一食文ではなく一日分の栄養が入っている（と記載している）のでこれを飲めば一安心できます
美味しいです,mimi,4.0,2022年9月24日,濃厚で美味しいです。の割には高くない。
毎日続ける健康生活,猫好きのひとり,4.0,2022年9月23日,栄養バランスが偏りがちな食生活改善のために購入しました。味は…体に良さそうな味…（美味しくはないけど、思ったより飲める）
家族で愛用,井上芳枝,5.0,2022年10月15日,毎日の体にプラスしていただいてます。
野菜の味が濃くて美味しい！,Nobby,5.0,2022年10月12日,野菜の味が濃くて美味しい！
家族の1日の始まりにいただきます,若松ノンノン,5.0,2022年10月11日,家族みんなで朝の始まりに飲み始めて半年くらいたちます優しいお味は飲みづらさもなく飽きることもなくすっかり我が家の定番です
美味しかった！,Amazon カスタマー,4.0,2022年9月14日,気軽に飲めるので，常備に，非常食に最適です
つづけられる1日分の野菜ですよ,tinkerbell,5.0,2022年10月10日,スーパーでは６入りを購入するのが精一杯なので玄関に置いてくださり助かります。味が好みなので飲み続けてます
美味しい野菜ジュース,Amazon カスタマー,5.0,2022年10月9日,たくさん野菜が取れるのに、さっぱりとして美味しく飲みやすいジュースです。
野菜補充,たす,5.0,2022年10月8日,一本一本買うより安いので、箱で買いました。
特になし,Amazon カスタマー,4.0,2022年9月3日,特になし
１日一本,ゆう～,5.0,2022年10月5日,飲みやすく、コップも汚さず出勤前の車の中で飲むことできるので、とてもイイ
野菜を食べない子供に,鹿ちょん,5.0,2022年10月2日,冷やして飲むのと常温で飲むのでは味が違い面白い！気分で飲み分けてます！子供は常温なら酸味が減るようで飲めるようになりました。2回購入して満足しているのでまた買います♪
不味くはないが飽きる。,248,4.0,2022年8月22日,カ●メ製のように水っぽくは無いが、毎日飲むのはキツイ。
手軽で良い,Sienna,4.0,2022年8月17日,味は濃いめ好き好きあると思う。
自然の甘さ,ポテ,4.0,2022年8月21日,トマトジュースより飲みやすかった
食事の前に,★,4.0,2022年8月18日,食事の前に飲んでおくといくら食べで太りずらい
甘いかな,浩ろ,5.0,2022年9月26日,個人的には結構甘く感じます。これを飲んで、ミネラルウォータで口をさっぱりさせて、というのを繰り返して1本飲み終えています。糖質控えめのタイプを何度か飲んでみたのですが、意外に飲みにくかったので、こちらに戻ってきてリピ中です。
割高,タウンバス,3.0,2022年10月24日,24本パックに比べて割高なので存在価値無し
飲み易いので、孫達が喜んで飲んでくれる。,道子,5.0,2022年9月26日,味がいいので、喜んで飲んでくれる。
美味しい,緋音,5.0,2022年9月26日,毎日野菜を取ろうと思い、手っ取り早い野菜ジュースに挑戦しました。野菜ジュースの苦手な私ですが、こちらは美味しく飲めました。苦手な方は冷やした方が飲みやすいと思います。
冷たくてもスープでも,mymy7,4.0,2022年8月12日,夏はこのまま飲むことが多いけど。寒い時にはベーコンキャベツじゃが芋等色々な野菜をプラスしてスープにします。とても便利。とてもパスタにも出来ちゃうよ
野菜不足解消！,ケンボー,5.0,2022年9月18日,美味しいし、大変飲みやすいと思います。僕は特に野菜嫌いではありませんが、食べる事で摂取するより飲んで摂取した方が継続出来るかな？と思い毎日一本を始めました。僕は2枚爪が気になって一日一本を始めましたが、大分解消して来ました。野菜嫌いな方も食べるより飲む方が継続出来ると思いますよ。
サラッとしています,ちこ,5.0,2022年9月22日,他商品の野菜ジュースよりサラッとしていて飲みやすく美味しかったです。ドロっと感、満足感が欲しい方は少し物足りないかもしれません。サラッとしている分、野菜苦手な方でも飲みやすいのではないかと思います。
美味しいです。,奥本隆,5.0,2022年9月22日,買って良かったです。
飲みやすくて1番美味しい,ぴよまろ,5.0,2022年9月21日,私はやっぱりこの野菜ジュースが1番美味しくて好きです。1日1パック便利でいいですね(^-^)
リピート買いです！,タカタン,5.0,2022年9月17日,いつもお世話になっております。
毎日飲みたいと思います,翼,5.0,2022年9月19日,飲みやすい
トマトベースの味です,ルーク,4.0,2022年8月2日,トマトくさいわけではないですが、トマトベースの味です。
とても飲みやすくておいしい。,猫好き,5.0,2022年9月18日,社員食堂の食事では野菜が不足しがちになるので、食事前に毎日飲んでいる。
美味しいです！,YOU,5.0,2022年9月14日,美味しかったです！
野菜不足解消用,Amazon カスタマー,4.0,2022年7月29日,好き嫌いが有る高齢者用に毎日1本飲んでくれますので、野菜不足解消に定期購入して、元気に暮らしています。
飲みやすい＾＾,ちぃ,5.0,2022年9月11日,発送も早くとっても助かりました。体に良さそうな味。家族で飲んでます。
安定した味,e-chan,3.0,2022年10月7日,セールの時にたまーに買います。安いです。味はまぁ安定の味です
美味しかった,Amazon カスタマー,4.0,2022年7月23日,すごく飲みやすい
なし,大 博幸,5.0,2022年9月10日,なし
安く買えてラッキーでした。,進藤貴美子,5.0,2022年9月9日,とても美味しく飲めてます。
若干お買い得,徳ちゃん,3.0,2022年10月2日,何時もネットスーパーで購入していますが、これよりも若干格安に成るので購入しました。味には人それぞれ好みが有ると思いますが、私は野菜が大好きなので、好んで飲んでいます。
美味しい,黒犬,3.0,2022年10月3日,不定期に買うと忘れるので、定期買いにした。美味しいから飲み過ぎる時もある
コスパ最高,kazuki,5.0,2022年9月8日,これだけあって、この味わいでこの値段はとても気に入っています。
野菜の変わりに,ジャッキー,4.0,2022年7月14日,トマトジュースみたいで飲みやすいです。保険婦さんから野菜の変わりに勧められ飲み始めました。
美味しい,菖蒲,4.0,2022年7月14日,ペットボトルより濃厚に感じる
冷やして飲む,yasu,4.0,2022年7月16日,昔の野菜ジュースからすると、大部飲みやすくなってます。たまたま管理栄養士の方からのお勧めがあり、普段野菜を摂らないので、飲まないよりはいいかな、と思い購入しました。飲む際は冷やした方がより飲みやすいです。
おいしかった,Amazon カスタマー,3.0,2022年9月28日,なかなか野菜採るのが無理なので、
人参嫌い人は苦手になる。,松下安甫,3.0,2022年9月22日,他者類似品の比較でも特に優れているとは思えない。
野菜不足のために,くーちゃん,5.0,2022年8月29日,野菜不足のために購入しました。正直癖はありますが、体のためにと飲んでおります。
手軽,Gftaj,5.0,2022年8月25日,簡単に野菜摂取
美味しく飲みやすいです。,Amazon カスタマー,5.0,2022年8月23日,いろいろ野菜ジュースを試してみましたが、さらりとして飲みやすいです。野菜ジュースの苦手な人でも大丈夫だと思います。
缶より10mg多い,遠藤,4.0,2022年6月28日,毎日一本飲んで健康維持に
記名なし,鈴木宏始,3.0,2022年9月12日,発送人の氏名。住所がなく受取人が大変困惑しておりました。宛先ラベルは見落としなく、確実に明記されることお願いいたします。
前から好きで飲んでます,てるか,5.0,2022年8月16日,他の野菜ジュースがたくさんありますが、私はこの伊藤園の味が一番美味しいと思って毎日飲んでました。毎日、自販機やコンビニなどによって必ず買って飲んでいましたが、家族にも飲ませようとまとめて購入しました。家族にも好評です。またなくなる前に購入したいです。
さっぱりた美味しさ,ウメちゃんのお父さん,4.0,2022年6月8日,飲みやすい！
飲みやすさ,IZUMI,4.0,2022年6月1日,飲みやすかったですよ。お値段は安いのにこしたことはないけど、こんなものかなあっておともだちに会うとき、持っていくんですが、皆飲みますね
飲みやすい,Amazon カスタマー,5.0,2022年8月5日,野菜ジュースの中で飲みやすいです口に合わないと思って飲んだんですが、とても飲み易く味が濃いので満足感が心地いいです
継続して使いたい,Kindleユーザー,5.0,2022年8月7日,健康に気お使い1日に飲む量が無理がない。
毎日飲むものだから,ａｏｉ,4.0,2022年5月15日,まずは、コスパで選びました。毎日飲むものですから定期的に購入するのが前提でした。いいと思いますこの食品。
おいしい,ちゃんぴよ,5.0,2022年8月5日,おいしいしけど、毎日買うのは面倒だったのでまとめ買いできて良かったです。
とても助かってます,Amazon カスタマー,5.0,2022年8月2日,病院してから色々な野菜が食べられないので、ジュスになっているので嬉しいです
飲みやすいです,もも,4.0,2022年5月20日,野菜ジュースにしては飲みやすいと思います。
気軽に美味しい,bunbun26jp,5.0,2022年8月3日,気軽に美味しいので、良く飲んでます。コンビニで購入していたのですが、まとめて購入しました
子どもにも飲みやすいようです,ぴぴよ,5.0,2022年7月24日,カゴメさんのもの（野菜1日これ一本？）はとろみが強いらしく子どもたちは飲まないのですが、こちらは喜んで飲みます。朝食のお供です。
美味しい,ハタハタハタボー,4.0,2022年5月13日,毎日１本飲んで通じが良くなった。
定番の意アイテム,藤島省太,4.0,2022年5月10日,野菜不足にお勧めだと思います。
少し苦い,ゆうこ,3.0,2022年8月11日,野菜が多い味で栄養はいいと思います。普通に飲めますが少しセロリ苦いです。
息子に送り続けて6年に～！,ぽんぽこ,5.0,2022年7月17日,独身息子は、どうしても毎日は野菜をとる事がないと思い毎月送っています。毎日1本飲んでいるようで、お子さんの栄養面で心配されている親御さんにおすすめです。野菜ジュースが好きなお子さんに限りますけど^^;
親切だと思います。,たまき,5.0,2022年7月17日,便通に良い気がします。あくまで個人の感想です。
飲みやすい,スタ子,5.0,2022年7月15日,野菜不足かなぁと思って飲んでます。手軽に1日分の野菜がとれるので助かってます。
飲みやすい,？,5.0,2022年7月17日,1日分の野菜が入っている野菜ジュースをよく飲みます。商品により味に特徴がありますが、これは飲みやすいです。
一番美味しい,sayo,5.0,2022年7月14日,安く購入できました。味は1番好きです。
毎日ふたカップ飲みます。美味しい,ぶとくん,5.0,2022年7月14日,野菜不足を補うために飲みます、簡単に取れるのがいいですね
コスパの高い商品だと思います。,久里昌樹,4.0,2022年4月29日,母の「野菜不足を補う飲み物を探して欲しい」との要望から検索、購入しました。値段も手ごろで、母からも飲みやすく、注文してもらって良かったと言ってもらえました。母より依頼あればリピート購入しようと考えています。
まずは朝一番に飲む,Amazon カスタマー,5.0,2022年7月5日,トマトや野菜好きな人には問題ないとは思いますが、嫌いな人はそのまま飲むには抵抗があるかも・・・カレーや煮込み料理に使ってみてヮ？私はそうめんにぶっかけたりしてます。
安定で,宇佐美莉乃,5.0,2022年7月10日,美味い
1日分の野菜を摂れる,ジュンジュン,5.0,2022年7月5日,野菜を沢山食べるのは、難しいけれどそれを1日分の野菜ジュースで手軽に簡単に美味しく摂れるのは、やはりこれしかない。頼んで良かったです！
今まで,777,4.0,2022年4月19日,朝仕事行く途中のコンビニで購入して飲んで野菜不足を補っていました。毎日飲むのがいいと思います。まとめ買いは楽だし飲み忘れもないです。お勧めできる商品です。
美味しい,Amazon カスタマー,5.0,2022年7月4日,野菜の味が濃くて好きです。毎日お弁当のお供に持って行っています。
1人には、丁度いい,祥明,4.0,2022年4月19日,スーパーのペットボトルに入ってる同じ野菜ジュースを買っていましたが、値上がりしたので、こちらを試してみました。１人暮らしには丁度よい量で、毎日飲みきれるので、良いと思います。
コスパがいい！,Kindleのお客様,5.0,2022年7月4日,もともと好きでスーパーやコンビニで購入していたのですがコスパが良いのでまとめ買いしました。味はとても甘いのでトマトジュースなどが苦手な方も飲みやすいかなと思います。朝食や野菜の少ない食事の補助として活用しています。
野菜たっぷり,モコモコ,5.0,2022年7月2日,冷蔵庫に常備してます。
カルシウムが含まれるのが良い,Toshiyuki Hiraki,5.0,2022年6月28日,野菜ジュースはいろいろな種類がありますが、それらの中でもこの野菜ジュースはカルシウムが多めに入っています。
野菜栄養素が豊富,Amazon カスタマー,5.0,2022年6月29日,健康によいので、継続的に飲んでいる。
お腹に良いです。,amazon浩一,5.0,2022年6月22日,私にとってはもう定番の為、どうこう感じませんが、お腹に良い様です。在宅勤務な為、よく飲む様になりました。
野菜不足を補給,サムライト,3.0,2022年7月19日,妻が野菜不足を気にして飲み始めましたが、毎日飲んでると手の平が黄色かかってきたので、もっとユックリなペースで飲むようにしましたが、今は止めてます
健康第一＼(^o^)／,godon,5.0,2022年6月23日,健康第一＼(^o^)／
定番の野菜ジュースです,かみひろ,4.0,2022年4月5日,定番の野菜ジュースです、毎日飲むならまとめ買いした方がコストパフォーマンスはいい
間違いないおいしさ,猿渡奈々,3.0,2022年7月9日,お弁当に凍らせて保冷剤がわりにしながらランチ時には程よく溶けて食後に美味しく頂きました
べんり,Amazon カスタマー,5.0,2022年6月16日,毎日一本、父が飲むので30本はよかったです。値段もお手頃で、野菜不足の予防になると思ってます。
ビタミンA補給,HANAKUMA,5.0,2022年6月13日,思ったより飲みやすいです。仄かな甘さが良いです
味,とおるおじさん,5.0,2022年6月10日,美味しい
子供は苦手かも,Mikuri,5.0,2022年6月8日,果物系の野菜ジュースのような甘さはありません。どろっとしていて好き嫌いがハッキリすると思います。
とにかく味,綾鷹,5.0,2022年5月29日,カゴメよりおいしいですよ、まあ、個人差あっるけど、野菜ジュースのわりに飲みやすいですただ値段の変動が数百円あります今後はどこのメーカーも値上げするでしょうね
冷やすとおいしく飲める,takashi,5.0,2022年5月16日,一人暮らしになったので野菜をとることが難しく、野菜不足を感じていたのでこちらの商品を購入しました。こちらの商品は常温でも保存することができて、一人暮らしの小さな冷蔵庫を占領するということには起こりません。一人暮らしの人にはとてもお勧めできる商品です。ただ、この商品だけでは野菜不足は解消されないのでカット野菜や何かしらの野菜をプラスで食べたほうがいいと思います。今まで、常温で飲んでいたのですが正直あまりおいしくなかったです。冷蔵庫に入れて飲んでみたところとてもおいしく飲めるので、飲む前日ぐらいに冷蔵庫に入れておいて朝に飲んだりすることをお勧めします。
飲みやすい,田中　,5.0,2022年5月30日,とにかく飲みやすいので、毎日ジュースのかわりに飲んでいます。
美味しいから気にいっています,ヨシちゃん,5.0,2022年5月29日,習慣化できていなく、飲み忘れることは有りますが
明らかに健康になったわけではないが,よゆるれ,5.0,2022年5月12日,毎日飲み続けて半年ぐらい経ちました。何が変わったかの実感は湧いてないのですが、思い返すと飲み始めてから口内炎が一度も出来てない気がします。口内炎の原因を調べてみると、ビタミン不足も一因らしいので効いてる？のかも？確証はあんまり無いですが笑味は甘すぎず、程よい口当たり好きです。これからも飲み続けるつもりです。
お得に買えました。,いさころ,5.0,2022年5月15日,到着も早くて流石Amazonさんと思いました。ケース買いするとテンションあがります^_^野菜不足を補います！
飲みやすい,Amazon カスタマー,5.0,2022年5月16日,セールになっていた時に購入しました。無駄な甘さがないので、カロリーとかを無駄に気にする必要もないのかなと思います。
母に,Rico.,3.0,2022年6月2日,買いました。私も飲んだ事がありますが、カ◯メより野菜を摂れてる！という感じがします。
飲みやすくて味が良い,ワカメ,5.0,2022年5月2日,とにかく飲みやすいです。適度なトロミもあり介護を必要とするお年をめした方にも良いと思います。我が母（95歳）も咳き込まず飲めます。また味もトマト類の酸味が穏やかなので他社の製品より好きです。毎日1本は必ず飲んでます。
